name,url
"성장기에 도움을 주는 좋은 영양 간식, 건강한 간식 선택하기, 간식, 1일 영양소기준치, 1회 제공량",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000001&svc_clss_id=CLSS0000075588
"DIY 건강한 음식은 이렇게 만든다!, 건강한 음식 조리하기, 음식, 조리, 조리 과정, 건강 간식",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000002&svc_clss_id=CLSS0000075588
"나에게도, 자연에게도 건강한 먹을거리를 고르는 방법, 안전하고 건강한 식재료 선택하기, 먹을거리, 인증제,  동물 복지, 로컬푸드",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000003&svc_clss_id=CLSS0000075588
"건강을 위협하는 백색가루, 설탕 섭취를 줄입시다., 설탕, 얼마나 먹고 있나요?, 설탕, 설탕 섭취 권장량, 설탕 중독",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000004&svc_clss_id=CLSS0000075589
"먹어도 될까요?, 먹어도 될까요?, 신품종, GMO, 유전자 조작",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000005&svc_clss_id=CLSS0000075589
"건강하고 안전한 옷차림을 알아봅시다., 나를 표현하는 옷차림, 옷, 옷차림, 옷의 기능",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000006&svc_clss_id=CLSS0000075590
"의복에서 단추의 의미, 의복의 완성 - 단추, 단추, 단추의 변화, 단추 스타일",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000007&svc_clss_id=CLSS0000075590
"언제 어디서든 발생할 수 있어요., 안전사고로부터 안전하기, 안전, 안전 사고, 예방",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000008&svc_clss_id=CLSS0000075591
"가정일 분담으로, 화목하고 건강한 가정을 만들어 보아요, 가정일도 나누면 행복해져요, 가정일, 살림살이, 가사분담",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000009&svc_clss_id=CLSS0000075591
"운전 필요 없어, 자율주행이 있잖아, 코딩으로 움직이는 자율주행버스, 자율주행차, 4차 산업혁명, 오조봇, 코딩",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000010&svc_clss_id=CLSS0000075592
"재활용품 분리배출 요령, 재활용품 분리배출 이것만은 기억하자, 재활용, 분리 배출",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000011&svc_clss_id=CLSS0000075593
"시간을 살 수 있을까요?, 시간 관리의 비법, 시간, 절약, 계획, 시간 도둑",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000012&svc_clss_id=CLSS0000075594
"요령만 알면, 나도 옷 정리의 달인!, 옷장 및 옷정리 꿀팁, 옷장, 옷 정리, 보관법",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000013&svc_clss_id=CLSS0000075594
"소프트웨어가 적용된 사례를 알아보고 우리 생활에 미치는 영향 이해하기, 소프트웨어가 세상을 움직인다, 소프트웨어, 초연결 사회, 미래 산업",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000014&svc_clss_id=CLSS0000075595
"계산 알고리즘, 엔트리로 계산기 만들기, 엔트리, 계산기, 만들기, 코딩",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000361&menu_id=87&contents_id=fs_a0000-2019-0123-0000-000000000015&svc_clss_id=CLSS0000075595
